date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:01	19747/19747	---M-Z	200	added ('OK')	text/html	etag:W/%225d1b3969-4d23%22	https://www.webrtc-experiment.com/Canvas-Designer/	C:/Designer/designer/www.webrtc-experiment.com/Canvas-Designer/index.html	(from )
12:40:01	226/226	---M-Z	200	added ('OK')	text/plain	etag:W/%225d1b396a-17d%22	https://www.webrtc-experiment.com/robots.txt		(from )
12:40:02	6143/6143	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d1b3969-17ff%22	https://www.webrtc-experiment.com/Canvas-Designer/canvas-designer-widget.js	C:/Designer/designer/www.webrtc-experiment.com/Canvas-Designer/canvas-designer-widget.js	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:02	1298/1298	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d1b3969-512%22	https://www.webrtc-experiment.com/Canvas-Designer/image.png	C:/Designer/designer/www.webrtc-experiment.com/Canvas-Designer/image.png	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:02	27075/27075	---M-Z	200	added ('OK')	text/html	etag:W/%225d1b3969-69c3%22	https://www.webrtc-experiment.com/Canvas-Designer/widget.html	C:/Designer/designer/www.webrtc-experiment.com/Canvas-Designer/widget.html	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:02	199657/199657	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d1b3969-30be9%22	https://www.webrtc-experiment.com/Canvas-Designer/widget.min.js	C:/Designer/designer/www.webrtc-experiment.com/Canvas-Designer/widget.min.js	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:03	120407/120407	---MC-	200	added ('OK')	application/javascript	date:Fri,%2026%20Jul%202019%2017:40:01%20GMT	https://rtcmulticonnection.herokuapp.com/dist/RTCMultiConnection.min.js	C:/Designer/designer/rtcmulticonnection.herokuapp.com/dist/RTCMultiConnection.min.js	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:03	62421/62421	---MC-	200	added ('OK')	application/javascript	etag:%222.2.0%22	https://rtcmulticonnection.herokuapp.com/socket.io/socket.io.js	C:/Designer/designer/rtcmulticonnection.herokuapp.com/socket.io/socket.io.js	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:03	2299/2299	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d1b3969-8fb%22	https://www.webrtc-experiment.com/Canvas-Designer/dev/webrtc-handler.js	C:/Designer/designer/www.webrtc-experiment.com/Canvas-Designer/dev/webrtc-handler.js	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:04	1217/1217	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d1b396a-4c1%22	https://www.webrtc-experiment.com/common.js	C:/Designer/designer/www.webrtc-experiment.com/common.js	(from https://www.webrtc-experiment.com/Canvas-Designer/)
12:40:04	286515/286515	---M-Z	200	added ('OK')	application/javascript	etag:W/%2245f33-Yjvz9WfbpikY0sXpO30hShSO03A%22	https://cdn.jsdelivr.net/npm/pdfjs-dist@2.0.489/build/pdf.min.js	C:/Designer/designer/cdn.jsdelivr.net/npm/pdfjs-dist@2.0.489/build/pdf.min.js	(from https://www.webrtc-experiment.com/Canvas-Designer/widget.html)
